"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-1.168750003E-1,9.762500226E-2,3.533750027E-2,1.563302456E-1
2.504615000E-3,-1.742125005E-1,6.957499683E-2,1.704999991E-2,1.883650127E-1
5.010384000E-3,-2.279749960E-1,4.152499884E-2,-4.949999973E-3,2.317788317E-1
7.514079000E-3,-2.877874970E-1,1.457499992E-2,-2.447500080E-2,2.891938792E-1
1.001876900E-2,-3.452624977E-1,-1.223750040E-2,-4.399999976E-2,3.482699365E-1
1.252331800E-2,-4.014999866E-1,-4.399999976E-2,-6.242499873E-2,4.086993023E-1
1.502800900E-2,-4.527874887E-1,-7.342500240E-2,-7.699999958E-2,4.651201359E-1
1.753262600E-2,-5.016000271E-1,-1.075249985E-1,-8.799999952E-2,5.204884364E-1
2.003747000E-2,-5.455999970E-1,-1.430000067E-1,-9.652499855E-2,5.722284806E-1
2.254185300E-2,-5.858874917E-1,-1.832875013E-1,-1.027124971E-1,6.224213349E-1
2.504762000E-2,-6.238374710E-1,-2.272875011E-1,-1.062875018E-1,6.724060019E-1
2.755108400E-2,-6.543624997E-1,-2.785750031E-1,-1.075249985E-1,7.192745920E-1
3.005592800E-2,-6.800749898E-1,-3.323374987E-1,-1.051874980E-1,7.642084889E-1
3.256054300E-2,-6.995999813E-1,-3.823874891E-1,-1.014750004E-1,8.037148134E-1
3.506514400E-2,-7.141749859E-1,-4.288625121E-1,-9.528750181E-2,8.384799776E-1
3.756983600E-2,-7.228375077E-1,-4.679124951E-1,-8.799999952E-2,8.655519427E-1
4.007437600E-2,-7.288874984E-1,-5.033875108E-1,-7.947500050E-2,8.893774491E-1
4.257899000E-2,-7.313625216E-1,-5.314375162E-1,-7.095000148E-2,9.068356380E-1
4.508459500E-2,-7.325999737E-1,-5.583875179E-1,-6.242499873E-2,9.232530650E-1
4.758829000E-2,-7.301250100E-1,-5.754374862E-1,-5.623750016E-2,9.313288824E-1
5.009313400E-2,-7.301250100E-1,-5.889124870E-1,-5.142499879E-2,9.394386505E-1
5.259775100E-2,-7.251750231E-1,-5.926250219E-1,-4.895000160E-2,9.378055947E-1
5.510236700E-2,-7.191249728E-1,-5.950999856E-1,-4.523750022E-2,9.345218835E-1
5.760704800E-2,-7.118374705E-1,-6.048625112E-1,-4.647500068E-2,9.352706387E-1
6.011158800E-2,-7.068874836E-1,-6.243875027E-1,-5.376249924E-2,9.446904648E-1
6.261620200E-2,-6.983624697E-1,-6.487249732E-1,-6.476250291E-2,9.553786745E-1
6.512181700E-2,-6.861249804E-1,-6.781499982E-1,-8.318749815E-2,9.682846011E-1
6.762550100E-2,-6.726499796E-1,-7.122499943E-1,-1.087625027E-1,9.856912962E-1
7.013011500E-2,-6.593124866E-1,-7.464874983E-1,-1.392875016E-1,1.005652797E0
7.263473000E-2,-6.433625221E-1,-7.856749892E-1,-1.772374958E-1,1.030831535E0
7.513934600E-2,-6.275500059E-1,-8.259624839E-1,-2.150499970E-1,1.059376956E0
7.764419200E-2,-6.115999818E-1,-8.637750149E-1,-2.529999912E-1,1.088196126E0
8.014879900E-2,-5.908374786E-1,-8.980125189E-1,-2.908124924E-1,1.113592078E0
8.265341500E-2,-5.713124871E-1,-9.297749996E-1,-3.238124847E-1,1.138303138E0
8.515902800E-2,-5.480750203E-1,-9.590625167E-1,-3.531000018E-1,1.159683901E0
8.766264500E-2,-5.260750055E-1,-9.774875045E-1,-3.788124919E-1,1.172917575E0
9.016733600E-2,-5.040749907E-1,-9.860125184E-1,-3.995749950E-1,1.177273316E0
9.267194600E-2,-4.833124876E-1,-9.822999835E-1,-4.178625047E-1,1.171799168E0
9.517679200E-2,-4.625499845E-1,-9.627749920E-1,-4.373874962E-1,1.154207951E0
9.768117900E-2,-4.393124878E-1,-9.285374880E-1,-4.483875036E-1,1.120816079E0
1.001860230E-1,-4.149749875E-1,-8.735374808E-1,-4.581499994E-1,1.070127746E0
1.026906550E-1,-3.867875040E-1,-8.076750040E-1,-4.618625045E-1,1.007601339E0
1.051962690E-1,-3.612124920E-1,-7.782499790E-1,-4.325749874E-1,9.608686767E-1
1.076998860E-1,-3.415499926E-1,-7.721999884E-1,-3.898124993E-1,9.300016151E-1
1.102045760E-1,-3.159750104E-1,-7.319124937E-1,-3.408625126E-1,8.670198141E-1
1.127092010E-1,-2.804999948E-1,-6.671500206E-1,-2.847625017E-1,7.777268669E-1
