"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,3.705624938E-1,-3.007124960E-1,1.170125008E-1,4.913618752E-1
2.504614000E-3,3.583250046E-1,-2.872374952E-1,1.402499974E-1,4.801793928E-1
5.009229000E-3,3.462249935E-1,-2.811875045E-1,1.585374922E-1,4.733627523E-1
7.514075000E-3,3.339875042E-1,-2.774749994E-1,1.732500046E-1,4.674992967E-1
1.001870300E-2,3.229874969E-1,-2.774749994E-1,1.830125004E-1,4.634726246E-1
1.252431600E-2,3.132250011E-1,-2.774749994E-1,1.890625060E-1,4.591806919E-1
1.502801000E-2,2.997500002E-1,-2.799499929E-1,1.915374994E-1,4.526683939E-1
1.753262400E-2,2.887499928E-1,-2.787125111E-1,1.878249943E-1,4.430975634E-1
2.003723000E-2,2.740375102E-1,-2.799499929E-1,1.830125004E-1,4.323911780E-1
2.254207600E-2,2.582249939E-1,-2.787125111E-1,1.743499935E-1,4.180415428E-1
2.504669400E-2,2.422749996E-1,-2.799499929E-1,1.658249944E-1,4.056687106E-1
2.755130900E-2,2.239875048E-1,-2.787125111E-1,1.560624987E-1,3.901366038E-1
3.005598000E-2,2.092749923E-1,-2.836624980E-1,1.475374997E-1,3.821357730E-1
3.256175000E-2,1.922249943E-1,-2.849000096E-1,1.390125006E-1,3.707329757E-1
3.506544400E-2,1.764124930E-1,-2.861374915E-1,1.304875016E-1,3.605870488E-1
3.757005700E-2,1.616999954E-1,-2.884750068E-1,1.230624989E-1,3.528584655E-1
4.007467300E-2,1.446499974E-1,-2.849000096E-1,1.170125008E-1,3.402698379E-1
4.257936000E-2,1.324124932E-1,-2.799499929E-1,1.095874980E-1,3.285034043E-1
4.508397700E-2,1.189374998E-1,-2.726624906E-1,1.035374999E-1,3.149777397E-1
4.758882200E-2,1.042250022E-1,-2.641375065E-1,9.377499670E-2,2.990405047E-1
5.009343900E-2,8.964999765E-2,-2.579500079E-1,8.524999768E-2,2.860819651E-1
5.259905200E-2,7.246249914E-2,-2.506625056E-1,7.424999774E-2,2.712850303E-1
5.510264100E-2,5.169999972E-2,-2.469500005E-1,6.448750198E-2,2.604147282E-1
5.760725400E-2,3.464999795E-2,-2.421374917E-1,5.348749831E-2,2.503839047E-1
