"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-4.039750099E-1,3.346749842E-1,7.686249912E-2,5.301990169E-1
2.504630000E-3,-3.977875113E-1,3.273875117E-1,7.204999775E-2,5.202006240E-1
5.009246000E-3,-3.917374909E-1,3.212000132E-1,6.462500244E-2,5.106898287E-1
7.514092000E-3,-3.892624974E-1,3.176249862E-1,5.857500061E-2,5.058082190E-1
1.001963000E-2,-3.855499923E-1,3.114374876E-1,5.238749832E-2,4.983839436E-1
1.252332500E-2,-3.819749951E-1,3.029125035E-1,4.509999976E-2,4.895864496E-1
1.502794700E-2,-3.795000017E-1,2.991999984E-1,4.028749838E-2,4.849370813E-1
1.753256200E-2,-3.782624900E-1,2.919124961E-1,3.657500073E-2,4.792005294E-1
2.003717800E-2,-3.757874966E-1,2.870999873E-1,3.162499890E-2,4.739649627E-1
2.254179300E-2,-3.733125031E-1,2.809124887E-1,2.804999985E-2,4.680393720E-1
2.504648600E-2,-3.722124994E-1,2.773374915E-1,2.433750033E-2,4.648123738E-1
2.755110800E-2,-3.684999943E-1,2.686749995E-1,2.433750033E-2,4.566955387E-1
3.005687500E-2,-3.635500073E-1,2.651000023E-1,2.309999987E-2,4.505332719E-1
3.256033900E-2,-3.574999869E-1,2.564375103E-1,2.433750033E-2,4.406344871E-1
3.506518300E-2,-3.537875116E-1,2.503874898E-1,2.557500079E-2,4.341815047E-1
3.756981200E-2,-3.477374911E-1,2.431000024E-1,2.681249939E-2,4.251327840E-1
4.007442800E-2,-3.415499926E-1,2.393874973E-1,2.804999985E-2,4.180305895E-1
4.257904300E-2,-3.367374837E-1,2.345750034E-1,2.928750031E-2,4.114308239E-1
4.508365800E-2,-3.330250084E-1,2.333374918E-1,2.928750031E-2,4.076883601E-1
4.758827400E-2,-3.282124996E-1,2.356749922E-1,3.052499890E-2,4.052134282E-1
5.009390400E-2,-3.282124996E-1,2.356749922E-1,2.928750031E-2,4.051220860E-1
5.259752200E-2,-3.294500113E-1,2.345750034E-1,2.928750031E-2,4.054879774E-1
5.510213500E-2,-3.305499852E-1,2.320999950E-1,2.681249939E-2,4.047871175E-1
5.760675000E-2,-3.379749954E-1,2.259124964E-1,2.309999987E-2,4.071819784E-1
6.011134200E-2,-3.452624977E-1,2.333374918E-1,1.828750037E-2,4.171175015E-1
6.261603400E-2,-3.697375059E-1,2.663374841E-1,-1.237499993E-3,4.556786259E-1
6.512057500E-2,-4.050749838E-1,2.931500077E-1,-2.818750031E-2,5.008165380E-1
6.762526500E-2,-4.405499995E-1,2.906749845E-1,-5.389999971E-2,5.305482623E-1
7.013100900E-2,-4.723125100E-1,2.773374915E-1,-7.466249913E-2,5.527835744E-1
7.263447300E-2,-5.016000271E-1,2.674374878E-1,-9.295000136E-2,5.759905380E-1
7.513908600E-2,-5.310249925E-1,2.553375065E-1,-1.075249985E-1,5.989544308E-1
7.764393200E-2,-5.615500212E-1,2.443374991E-1,-1.209999993E-1,6.242437341E-1
8.014855000E-2,-5.883625150E-1,2.369125038E-1,-1.332374960E-1,6.481128095E-1
8.265316100E-2,-6.165499687E-1,2.333374918E-1,-1.430000067E-1,6.745585600E-1
8.515777600E-2,-6.458374858E-1,2.308624983E-1,-1.502874941E-1,7.021323821E-1
